,Post,Predicted Sentiment NB,Predicted Sentiment SGD,Predicted Sentiment SGD_GS,Actual Sentiment
0,我在@惠惠网 发布了一条超值爆料，为为网 宝洁&联合利华专场   满100减50/满200减100，宝洁&联合利华专场促销活动，活动页面内商品满100减50、满200减100，参加活动的品牌有沙宣、海飞丝、潘婷、飘柔、清扬、多芬等。比如沙宣清盈顺柔洗发露750ml洗发400ml护...http://t.cn/8FYtvtn,neu,neu,pos,neu
1,#超值购# Rejoice 飘柔 人参滋养洗发露750ML 29元 http://t.cn/RPAMilX 来自@留住你官网,neu,neu,pos,neu
2,#施华蔻617大促#想要的奖品想要的转发.. 地址：http://t.cn/zHEukvk,neu,neu,neu,neu
3,清扬是一直都在用的品牌，因为对我来说去屑效果不错。,pos,pos,pos,pos
4,这就是[玫瑰]传说中的神器欧莱雅润发精油啊。,pos,pos,pos,pos
5,都说精致的女生除了甜美的妆容服饰外，柔顺飘逸的长发往往最让人“动心”，所以日常Yukiki在头发保养上会选择潘婷染烫修护系列，其拥有全球首创角蛋白损伤隔离因子，能够帮助隔离外界对头发损伤，同时PRO-V维他命原能够深入浸透修护，滋养直至发芯，对发黄、发脆，没有光泽的头发Say NONO!@潘婷Pantene,pos,pos,pos,neu
6,用了欧莱雅奇焕润发精油真心舒服啊，总是忍不住想去摸摸我的头毛哈哈,pos,pos,pos,pos
7,女汉子一秒钟变萌妹纸的利器啊欧莱雅护发土豪金,pos,pos,pos,pos
8,其实我初恋情结一直都挺严重的，反映到现实生活中，就是我一直留着第一任BF给的毛绒玩具，第一回独自出门的车票，洗发水数十年如一日的买海飞丝，这么多年的动画漫画看下来听到不二周助的名字瞬开花痴MODE。所以一般到一个地方，认识第一个人，决定做朋友，然后对其他人也就没兴趣了。,neu,neu,pos,neu
9,春暖花开~春装满500减100！转发得施华蔻家庭洗护套装  地址：http://t.cn/8F1u8G6,neu,neu,neu,neu
10,潘婷不能用了，护发但是伤脑壳～@小娴xylina 我在这里:http://t.cn/8kRRAWR,pos,pos,neu,neg
11,当年就是就是看了这个广告被感动到连用了三年潘婷,pos,pos,pos,pos
12,#假期打卡Go不停#想带护舒宝和潘婷~,neu,neu,pos,neu
13,施华蔻的新品是紫色的那个吗？,neu,neu,pos,neu
14,好东西怎能独享，给小伙伴们推荐一个上海免费活动：【品牌试用荟】潘婷-臻致修复洗护100元正价套装  吃喝玩乐，通通0元，简直了！ http://t.cn/Rz7YMLz,neu,neu,neu,neu
15,欧莱雅精油护发期待人品大爆发，大奖小奖统统搬回我的家！ 地址：http://t.cn/8kBYjQQ,neu,neu,neu,neu
