Post#,Post,Relevance,Sentiment,AD?
639823,好漂亮好柔顺，你们是用了飘柔么？#搞笑#,Y,POS,
726190,换了施华蔻护发，适应新的香气竟然开始需要时间，习惯性的抓起发丝来闻，需要透过陌生的香儿才能再次感受到一同往日的安全又熟悉的味道。漫长时光我与它日日相伴，或许正是有着各种是是非非的情结，才有了那么多爱发如命的女子。它就是我们，不是吗。,Y,POS,
8844,#玩赚足球季#清扬吗？[可爱][偷笑]无懈可击[威武][威武][给力],Y,NEU,
797480,灵感源至沙宣,?,,
162311,好幸运！我刚刚在#丝源会#中抽到了丝源音乐盒，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8FxIiP0,N,,
438593,今天披着志愿者的外衣逛西湖，还和文钧她们跑到博物院看画展害得大家找了半天。中午在潘婷的带领下八个人血洗大丰收……生萎今天突破天际😂下午的真心话大冒险也很赞。现在还在cs的孩子们你们还好吗。不得不说和你们在一起的日子很快乐#太久没出了今儿透透气#,N,,
268989,#我的欧莱雅秀发非凡时刻#@fan樊樊樊真伟大 @单纯心蕾 @航空梦123 你想和我一起拥有美丽的秀发吗,N,,
694192, VogueDaily：卡尔•拉格斐完美诠释施华蔻2014发型趋势   http://t.cn/8siS4Ef @VOGUE时尚网 ,Y,NEU,
102120,#海飞丝巴西实力挑战赛# 来跟梅西一起挑战绿茵场，玩得够牛还能赢巴西游！ （分享自 @海飞丝实力派） http://t.cn/8sYB85k ,N,,
804743,真是服了啊，潘婷这次玩的不小的,?,,
83826,#当青春遇上节操#你简直就是节操姐，你就是叶诗诗，节操满满的站在制高点上。 @我的青春高八度 @海飞丝实力派 http://t.cn/RPqSE9D?_rnd=9356,N,,
68866,官渡局区工商捣毁制售假冒品牌洗发水窝点查扣48件。 接举报在官渡街道宝丰小村某出租房内检查有“海飞丝”、“飘柔”、“清扬”、“潘婷”、“蒂花之秀”、“舒蕾”、“好迪”等品牌包装箱，已配制好待装箱洗发水。洗发水是其自行用香精等原料按比例配制，销往农村市场。查扣了假冒洗发水48件,Y,NEU,advertisement
66183,晚上去八仙山跑步，遇到一条流浪狗，带回来洗半瓶海飞丝也洗不干净，跳蚤太多了，只好等明天再带去宠物店解决了,N,,
117579,老婆，给你商量个事好么？下次把你的洁尔[鼓掌]荫放得离我的海飞丝远一点.......,Y,NEU,SARCASTIC
631573,特反感那些在炫富的人。本尊的牙膏用的是高露洁，洗发水是飘柔，手机是诺基亚，哪样不是名牌？每天坐着几百万的公交车上班，并和五百强企业，建设银行，农业银行，中移动，中石油，国家电网，沃尔玛等保持长期稳定的合作关系。你有见我炫耀吗？ 我在这里:http://t.cn/z8AsOgS,Y,NEU,SARCASTIC
558849,用完这瓶再也不用飘柔了。,Y,NEG,
390784,[兔子]偏方来鸟[兔子] 给大家推荐个治疗头发毛躁 不顺 沙发的偏方撒  [嘻嘻]卡诗洗头水[嘻嘻]  欧莱雅旗下的  真的很好用 头发又顺又亮 但是洗头方法很重要 一定要尊说明 否则没有效果表怪我[太阳],Y,POS,
731605,#无痕接髮完成了#@造型师jason阿亮 @沙宣造型师Allen泉州无痕接发 @VS沙宣概念 @无痕接发李杰瑞 @沙宣造型师-Tony泉州无痕接发 @張_蘋菓- @A_ssy ！加厚髮量真的好做造型[玫瑰][玫瑰][玫瑰][玫瑰] http://t.cn/RvEGeI7,N,,
614691,这个广告一度在中国很火，走的是励志煽情路线。蝴蝶蜕变点出了每个不被重视女人的渴望。选的音乐《卡农》非常精准。煽情路线也可细分，有温馨的小感动，也有足以让你哭泣的泪弹，还有幽默与感动相结合的。其中后两者比较难做到，考验功力。@飘柔 http://t.cn/zjNnhvo,Y,POS,
167076,好幸运！我刚刚在#丝源会#中抽到了丝源音乐盒，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8FqYogt,N,,
780769,这些是典型的白富美消费场所，他们是给中国大陆的美发界带来了科学系统的裁剪理论和方法。但是实践更证明他们的高昂培训费用让广大的发型师忘而却步！我更相信在新技术条件下，他们在我看来他们已经是白垩纪的恐龙差不了多少！中国美发界会在沙宣之后，向全世界来诠释“美发”的意http://t.cn/zQ9mAg9,Y,POS,
672756,施华蔻Q10幻时新生浓缩精华乳20ml 发膜倒模    一口价：7.00元。     http://t.cn/RvGK392,Y,NEU,
599110,用了飘柔就是那么自信 哈哈,Y,NEU,SARCASTIC
165510,尼玛啊啊啊啊啊，姐的海飞丝都画完了还没到家你敢不敢在开慢一点啊啊啊[抓狂][抓狂][抓狂][抓狂],N,,
485758,加油 潘婷俄罗斯励志广告，成功就在你面前，只要你不顾一切的努力  http://t.cn/zlw1RfT,Y,NEU,official adv. Quato
263751,德国杏仁油浓缩洗发精，适合受损发质.每次用一点就可以，头发更强韧。德国是一个一份价钱一分货的地方，这个在德国比欧莱雅贵不少。http://t.cn/RvGujWY（分享自 @微店 http://t.cn/8kD2fJZ）,Y,"L’Oreal=NEG
 Unknown=POS",advertisement
403985,阿婷生日快乐！！！祝潘婷永远最红，你作为潘婷主唱主跳责任重大！潘婷出道快六年了，我们要一直红下去哦～[亲亲][亲亲][亲亲][爱你][爱你][爱你][酷][酷][酷]nei ga qie qia la ga~[haha][话筒]Give me ten!@黄呀黄雪婷_ ,N,,
87101,#一剑刺向太阳# 17K小说网 @花儿静静的开吧YYY @斑马不是大英雄因为没用海飞丝 @结果咧_Doitor 岁月飞逝，沉默金秋厌倦沉浮，落日不走，悬挂天涯舍不得我， 往时伊人心中念，情丝缠绕千百回。再回首往事随流水向东和枫叶齐落，当爱已走到尽头，你我再也无法相守。命运自认幽默，想法太多由不得我。,N,,
200452,大家快来看，这是我刚刚#丝源会#中做的头像花盆，你是否也希望和我一样，有一个印着属于自己头像的定制花盆呢？现在就加入丝源会，绘制属于自己的头像，建筑你的丝之花“源”吧。@海飞丝丝源复活 http://t.cn/8kwhtCI,N,,
267200,#洗发水含防腐剂#【媒体曝光洗发水里含防腐剂 超量可能致皮肤过敏】近日，媒体选择了海飞丝、飘柔、清扬、巴黎欧莱雅等9款市场上常见的去屑洗发水送往相关部门进行测试。检测出两种常见防腐剂，为甲基异噻唑啉酮(MIT)和甲基氯异噻唑啉酮(CMIT)。洗发水也不安全了……,Y,"Head & shoulders=NEG
 Rejoice=NEG
 L'Oreal=NEG
 Clear=NEG",
56612,不想多说 识货的来 不识货的继续用你的海飞丝！！想买的➕最后图片的微信！！,Y,NEG,
754861,【斜分刘海沙宣发型】 女生两侧的沙宣线条进行梨花烫的处理，打造出内卷的弧度，将女生的脸颊包裹其中，很好的修饰了美眉的脸型，刘海采用斜侧分线，凸显出女生的俊俏的五官，尽显美丽好看。,N,,
303211,#新年非凡Show发随手拍# 巴黎欧莱雅很多银都稀饭，当然也包括偶，包括偶的秀发[奥特曼],Y,POS,
612545,#屌丝侃图#用飘柔，就是这么自信~,Y,NEU,SARCASTIC
264051,有顾客问我，这个洗护真有这么好么？ 我先不说效果多好，我告诉你结果，世界品牌:卡诗，威娜，欧莱雅，资生堂、施华蔻，这些你用过的话，直接秒杀这些品牌。 但是由于正品经常断货，假货又泛滥，那些拿低价来比的，就不要问了。这个洗发水赚的是口碑，不是利润。,Y,"L’Oreal=NEG
 Schwarzkopf=NEG",advertisement
674844,发表了博文 《施华蔻洗发水怎么样》 - 　　施华蔻洗发水怎么样  洗了头发很柔顺，这味道好香，物超所值啊。很好用，味道也非常好，谢谢店家还送了丝蕴小包装。挺喜欢这个味道，很大一瓶，还赠送了小瓶丝蕴，可 http://t.cn/RviXDA8,Y,POS,
794575,#中国原创造型#这对姐们儿，来的时候发型是几乎相同款，只不过一位的头发稀薄，另一位的头发厚重，现在，我给她们两整成这样了。哈哈，现在才像真正的姐们儿啦。我在这里http://t.cn/zTbNZDA。@沙宣VidalSassoon @湖北经视小可 @苏卿卿phoebe @夏夢_Summer丶 @组合媞娜Tina @侯岩Jane,N,,
732387,再现大牌风范，引领尖端潮流#PHILOSOPHY沙宣理念南京德基店# 老店新开，品质再度升级。13年品牌积淀，不变的是我们对时尚的坚持！【电话】84763486【地址】新街口德基一期L520,N,,
285575,#我的欧莱雅秀发非凡时刻#@木头丫头 我已经是欧莱雅“懒”美人秘社成员咯，这个平台最让我兴奋的地方是可以每天玩游戏赚积分换奖品！,N,,
81546,#海飞丝巴西实力挑战赛# 过会再取只晃过了0个人，玩游戏中大奖的机会留给你们了！ http://t.cn/8sYQNyE  （分享自 @海飞丝实力派）,N,,
791265,我试用了沙宣修护水养发质重塑发膜，我觉得：用了发质明显好多了。亮丽，滑爽。就是量少点，打算去买。 http://t.cn/zHADkUW  （分享自 @喜试网）,Y,POS,
133958,好幸运！我刚刚在#丝源会#中抽到了丝源音乐盒，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8sZKR6h,N,,
549590,为什么我用飘柔洗头感觉不到一点自信？  为什么妈妈送旺仔牛奶来学校时学校没有广播叫我？   为什么我去超市买益达忘了拿也没有美女跟我说 :嘿！你的益达？    http://t.cn/RhfDTkB,Y,AMBIGUOUS,SARCASTIC
646296,飘柔爱转角太失败了。PG怎么想的。,N,,
629796,你们都在用什么洗护系列？纯植物的能否给推荐下？姑娘如今还在飘柔欧莱雅沙宣强生威露士抓来胡乱用一气的阶段。是不是有点不讲究。,Y,NEG,
644213,嗯，我不会记错的，找到了。@东东是Sarah 【视频：张德培 飘柔广告 2合1 no way】 http://t.cn/GfqiR  （分享自 @优酷网）,Y,NEU,
