Post#,Post,Relevance,Sentiment,AD
37603,【MASCARA活性碳清爽洗发露】【MASCARA胶原蛋白修复精华原素】一句话总结：沙宣、飘柔、海飞丝；拉芳、清扬、施华蔻--弱爆了～～～平民化价格，超平民化品质~,Y,"Vidal Sassoon=NEG
 Rejoice=NEG
 Head & shoulders=NEG
 Clear=NEG
 Schwarzkopf=NEG",AD
314590,遇到Mascara之前我用的这些洗发产品绝对称得上一线：洁喜诺、资生堂、沙宣、丝华蔻、欧莱雅，价钱贵的很、效果一般般，自从遇到来自mascara.开叉 易断 受损的发质 会恢复柔顺 弹性 光泽 防脱发 万能的 😘😘到时候自己观察下就能感受到发质恢复🌸就算你停用一段时间 效果还可以继续维持超级棒的！,Y,"Vidal Sassoon=NEG
 Schwarzkopf=NEG
 L’Oreal=NEG",AD
26518,清扬一点都不去屑[哼][哼][哼],Y,Clear=NEG,
399043,日版的潘婷小金硅瓶跟国内版的同样都是没定拆哪 一个在淘宝买100多一个大约就十几块就能买到 真是日版的屎都是玫瑰味的呢,Y,Pantene=NEU,
59298,是谁说海飞丝可以去头屑的？我专门去买了一支，一点儿作用也没有。头屑满天飞。[吐][吐][吐] 为毛会有头皮屑啊！[哈哈][抓狂],Y,Head & shoulders=NEG,
59274,起名专用楼， 话说有些盆友对朕起的名字，什么清扬啊、潘廷啊、谢特啊、奥拓奥迪之类的相当不满意啊。朕会说海魂有个妹妹叫海飞丝么？咳，大家有好的名字可以发在这里，供作者菌参考一下。[阴险],N,,SAR
391855,猛烈推荐海飞丝思源复活头皮净化洗护发啊啊啊，秒杀卡诗欧莱雅施华寇一条街啊啊，太适合我这种头皮出油头发还干燥老掉的人士了，洗完头皮舒服头发滑滑的不涩，我真的不是宝洁的托儿有木有。[偷笑][偷笑],Y,"Head & shoulders=POS
 L’Oreal=NEG
 Schwarzkopf=NEG",
57922,谢谢亲爱的用后给了大大的反馈/鼓掌 /鼓掌 也是用过好多洗护了海飞丝沙宣啥的，都没我家帕帕效果好/鼓掌 /鼓掌  http://t.cn/RzTHXxE,Y,"Head & shoulders=NEG
 Vidal Sassoon=NEG",AD
248585,那么问题来了，发油到底哪家强。。。以我一个粗硬易炸毛的发质来说，好用程度从左到右递减，上图是干发用ranking，下面是湿发用ranking。香味见仁见智，crowa最高级，欧莱雅我闻着就是话梅味😂😂😂 我认真问过细软发质，她们果然和我感知完全不同[拜拜][拜拜][拜拜],Y,L’Oreal=Ambiguous,
47031,这只是局部特写，因为照整个后脑勺会不看清楚，实际上整个后脑勺三分之二都是这个样子的过敏，我用的白瓶控油平衡和冰爽薄荷，微博上也有很多人过敏，为什么不标明清楚有可能过敏，请给个说法，我现在无法用言语形容这种巨痒巨疼的状态！大家用要小心，不负责任的做法会让消费者承担很多痛苦@Clear清扬,Y,Clear=NEG,
