Post#,Post,Relevance,Sentiment,AD
388720,L'OREAL 欧莱雅卷烫修复洗发露 200ml ，9.9元，仅部分地区有货。来自1号店  http://t.cn/zQNNk5p,Y,NEU,AD
597472,洗毛+顺毛完终于能看了……#有飘柔，就是这么自信#   @苍玄老爷爱养猫 @风起建章 @紫色砒霜 看我的劳动成果,Y,POS,
424480,我试用了潘婷时光修护洗发露，我觉得：很喜欢这个产品，永久秀发再也不枯燥了。非常好 （分享自 @喜试网） http://t.cn/8sizMhy,Y,POS,AD
644551,奔波了一天，我这鞋子和袜子，哎！！！@飘柔m 我在:http://t.cn/zTRzNCb,N,,
863790,我觉得这个论人吧，如果你买的不是假货，那应该就是不适合你用 　　我一向没头屑的，用了海飞丝那头屑一片一片的。。。 　　施华蔻我也用不了，尤其是秋冬的时候用施华蔻，一直起静电，头发毛毛的短点的都竖起来了~,Y,"Head&shoulders=neu
 Schwarzkopf=neu",
488512,@小妻妻妻妻妻  潘婷姐姐，生日快乐！一切都顺了，少点烦恼，多点乐，没必要为一些不值得的人或事纠结太多，想太多，做好自己的事就好。[蛋糕][干杯][笑哈哈],N,,
635543,洗洗睡，这盘算是破纪录咯@wujj99 @唐僧洗头爱飘柔zl @陳工有点忙 ……,N,,
986988,披萨我没有…用抽到的沙宣旅行套装和你换一个优惠码？,Y,NEU,AD
848999,ddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,SPAM,,
48617,亚马逊中国：6月8日 Z秒杀 值得关注商品，购买俩接在此http://t.cn/zHWDASr。 8点：摩恩大双槽水槽+净铅厨房龙头+装饰盖+沥水篮+切菜板，天王全钢情侣石英女表，清扬男士去屑洗发露400ml赠100ml*2瓶，洗之朗洁身器，耐克AIR MAX运动鞋，摩恩大面板手持花洒水呼吸淋浴花洒套装，,Y,NEU,AD
395584,"【GF时尚造型优惠券】>>凭此券仅需88元！[给力] 尊享原价880元的欧莱雅烫/染套餐：洗剪吹+欧莱雅探索系列烫/染（2选1）+欧莱雅深层烫后护理1次〔沙坪坝融汇新时代楼上14-31，杨家坪西城天街B座8-16，南坪万达广场时尚楼4栋10-17〕领取免费→http://t.cn/zjxQS55 提升个人魅力,打造你的专属发型!",N,,
758966,给大家推荐个超好用的洗发护发套组！吕棕色洗护套装(400ml洗发+400ml护发)，超给力！黄色为新款不同颜色功效不一哦！，韩国第一最强洗发首选～用完爽翻！我姐我妹闺蜜都在用！绝对完爆沙宣，多芬，力士，丝蕴，施华蔻等牌子。亲身体验！只有用过才知道！ 😜 😜微信NNShop888,Y,NEU,AD
308472,【视频巴黎欧莱雅奇焕润发精油—李冰冰篇30秒 标清—在线播放—优酷网，视频高清在线观看】巴黎欧莱雅奇焕润发精油&mdash;李冰冰篇30秒 标清   http://t.cn/8kmUSZl （分享自 @优酷网）,Y,AMBIGUOUS,
419496,"真的假的  无硅洗发水推荐 你还在用飘柔潘婷这些假顺滑的洗发水吗？,相关链接:http://t.cn/8sdYOKu",Y,"Rejoice=NEG
 Pantene=NEG",
375037,#欧莱雅奇焕润发精油#转发给好友，宣传你们的好活动，让小编保佑我中次奖吧[给力]  地址：http://t.cn/zROCjIS,Y,NEU,AD
492772,#闺蜜送福利#潘婷首创高端护发领域的滴管状修护精华。让心爱的发丝享受臻致护养。每一滴都蕴含亿万个微胶原臻致修护因子，10倍于普通护发品的修护，支持@光脚的小狐狸远 @漫步一生路孝 @cassileve斐,Y,POS,
672521,自从把那两瓶沙宣用完了，换回了我的施华蔻，头发好得不得了。这次还用的是给damaged hair用的，所以头发每天都又亮有顺又滑！给施华蔻点一百个赞！,Y,"Vidal Sassoon=NEU
 Schwarzkopf=POS",
710842,#热销单#【市中区】仅售9.6元！价值30元的施华蔻旗舰店洗剪吹套餐，男女不限，美丽自己来绽放。 http://t.cn/z8MmVT8,N,,
663742,亲爱的朋友们 我在唯品会买了施华蔻品牌的商品，现在才10折喔，机不可失失不再来，赶紧来这里看看有没有你喜欢的吧！http://t.cn/RPlpvDK,Y,NEU,AD
836100,我家的用飘柔，我还在用沙宣，嫌弃死,Y,"Rejoice=ambiguous
 Vidal Sassoon=ambiguous",
734462,这几天看着这个报价穷的，蛮受打击的…想快速系统的成为沙宣国际大师是需要最低消费15w…在加钱钱钱堆积而成的。只能在走弯路了,N,,
414815,【视频我的发型我决定 周迅代言潘婷广告-广告视频-爱奇艺】 http://t.cn/zTgJm5H（分享自 @爱奇艺）,Y,NEU,Official ad quota
744601,沙宣给人的感觉就是有活力积极向上的。,N,,
16593,我在@米折网 #超值爆料# 上发现这个好东西 ：清扬 男士洗发露 清爽控油型 750ml http://t.cn/8s7ILaR,Y,NEU,AD
369177,因为我是染烫的头发，发梢非常枯，但是抹了欧莱雅奇焕润发精油真的很有光泽呢,Y,POS,
349359,有了欧莱雅护发土豪金是不是就能随意烫染头发了呢,Y,NEU,
833860,潘婷乳液修护洗护优惠装2件组合 洗发露500ml+护发素500ml，目前飞飞商城29.9元，京东单瓶34.8元。两瓶这个价格是不错了，需要买洗发水的可以考虑。,Y,NEU,AD
805375,手机挡到脸了,N,,
257080,周末购入品流水帐📦家姐推荐给我的这套Argelan海藻洗护发，说洗完头发会变超蓬松、味道也清香好闻～欧莱雅的发油、我在柜台试了下回家一路上都在摸头发好柔顺根本停不下来！入的节奏刚好发油也用完。还有个价格有点贵但好评挺多的眼药水。[照相机]最后新相机已买好明天视频录起来（CasioZR50）[来],Y,POS,
796081,哈哈，沙宣北鼻好有型 //@JongDaeaaaaaa_:比甜甜的短一些。 //@我是倩倩的SO姐姐:跟朴有天Mirotic的造型好似！！！@-6002mosquito蚊蚊子-,N,,
263580,发源地六月烫染节，欧莱雅466烫一送一。活动详情可以咨询本人，为您私人定制您的专属发型。电话：15813738065Andy 期待您得光临！[微笑],N,,
727849,"施华蔻 品牌NO.1谢谢主办方提供如此好礼。,, 地址：http://t.cn/zT62bhz",Y,NEU,AD
303194,头发干枯毛躁没有光泽，请你相信巴黎欧莱雅，值得信赖#新年非凡Show发随手拍#,Y,POS,
875710,顶顶顶！ →_→从小立志做一个有趣的人，没想到，长大了，跑偏了，变成了逗比⊙▽⊙ 　　　--来自海飞丝清凉油客户端,N,,
216815,#宝洁官方#海飞丝洗发水，去屑只选它~~~>>>http://t.cn/zQrzmGo[猪头],Y,POS,Official ad quota
779194,沙宣总是有无线的灵感和创造力,N,,
